name,boats,cityscape,dancing,frost,house,map,moon,police,reflection,rocks,sand,sun,sunset,swimmers,tattoo,tower
charts\0431_250129766.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sailboats\0484_319101128.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flag\0448_2149885121.jpg,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cheerleader\0370_307615346.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
avalanche\0247_2231697340.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
storms\0359_2515874664.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
animal\0024_677786684.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
officers\0064_719707953.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bay\0489_2602203894.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
slope\0438_2184662295.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dunes\0497_320671404.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
monastery\0577_71121938.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
swimming\0678_113315068.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
motorcycle\0423_2485989004.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pipelines\0008_2211675700.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
plaza\0547_2371483507.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
harbors\0517_415011143.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shopping_mall\0081_356143276.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
individual\0602_2133128740.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
snow\0472_1424432747.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
maps\0548_38104268.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
suburban\0367_318828143.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
officers\0013_80531324.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bay\0466_421737236.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fog\0060_2188706530.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
formation\0543_987118938.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
camera\0504_2107827749.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lake\0562_497526013.jpg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
swimmers\0051_521015656.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
arctic\0263_233098804.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
coyote\0534_374442265.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bengal\0586_2671156867.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
river_bank\0595_340915806.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dancing\0491_2199652468.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vineyard\0571_2368756317.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cabin\0527_246798651.jpg,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
maps\0526_2215927755.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
column\0628_354267476.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
police_station\0041_2502199405.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ice\0586_2168461921.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oil_field\0482_2244302396.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
f-16\0432_2603780869.jpg,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
swimmers\0312_490564445.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mast\0465_1568377329.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
canal\0007_2065167934.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
cheerleader\0248_156306225.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
frost\0473_295838941.jpg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
maps\0403_201432964.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pavilions\0447_1799258154.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
protesters\0431_2075799068.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
coast\0439_692593805.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
log\0400_1571831246.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bridge\0477_288898081.jpg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
swimmers\0451_786866404.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
swimmers\0246_1365829114.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cell_phones\0201_256102171.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ships\0584_455243251.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tugboat\0280_343123118.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheering\0085_354673312.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
greeting\0251_367211605.jpg,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
windmills\0071_272938691.jpg,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
maps\0412_4113990.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
moon\0489_371925159.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
officers\0437_545333413.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hut\0071_2467238455.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dunes\0357_246974875.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
moss\0037_368548548.jpg,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
swimmers\0372_184424213.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
antenna\0007_238042555.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
