name,boats,cityscape,dancing,frost,house,map,moon,police,reflection,rocks,sand,sun,sunset,swimmers,tattoo,tower
cows\0364_109702516.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ships\0505_2401114631.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction_site\0402_2074735150.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gym\0354_2306791605.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cabin\0558_2102014318.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vehicle\0370_1138663448.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maps\0558_38104267.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cars\0471_1392236004.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
police\0039_331510763.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pagoda\0039_2300257677.jpg,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
rapids\0097_2505665458.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
prop\0232_2320360350.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
costume\0405_150649063.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bathroom\0005_2360210699.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cooling_tower\0321_1544259232.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
