name,boats,cityscape,dancing,frost,house,map,moon,police,reflection,rocks,sand,sun,sunset,swimmers,tattoo,tower
festival\0571_185072004.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sails\0222_2343317282.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
empire_state\0465_45728798.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheering\0368_444099332.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cows\0065_357163680.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
first_lady\0402_2534442807.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
maps\0556_2696363707.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
stems\0207_2388853972.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
riot\0547_130152081.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
windmills\0084_2258169835.jpg,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
earthquake\0005_1803257163.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
shrubs\0204_300075535.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
athlete\0558_1444265768.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
empire_state\0483_2379613388.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
